territory,year,company_total,company_individual,company_society,company_density,company_nr_cae_a,company_nr_cae_b,company_nr_cae_c,company_nr_cae_d,company_nr_cae_e,company_nr_cae_f,company_nr_cae_g,company_nr_cae_h,company_nr_cae_i,company_nr_cae_j,company_nr_cae_l,company_nr_cae_m,company_nr_cae_n,company_nr_cae_p,company_nr_cae_q,company_nr_cae_r,company_nr_cae_s,company_nr_employee_[<10],company_nr_employee_[10-19],company_nr_employee_[20-49],company_nr_employee_[50-249],company_nr_employee_[>249],company_employee_nr_cae_a,company_employee_nr_cae_b,company_employee_nr_cae_c,company_employee_nr_cae_d,company_employee_nr_cae_e,company_employee_nr_cae_f,company_employee_nr_cae_g,company_employee_nr_cae_h,company_employee_nr_cae_i,company_employee_nr_cae_j,company_employee_nr_cae_l,company_employee_nr_cae_m,company_employee_nr_cae_n,company_employee_nr_cae_p,company_employee_nr_cae_q,company_employee_nr_cae_r,company_employee_nr_cae_s,company_employee_nr_total,company_gva_cae_a,company_gva_cae_b,company_gva_cae_c,company_gva_cae_d,company_gva_cae_e,company_gva_cae_f,company_gva_cae_g,company_gva_cae_h,company_gva_cae_i,company_gva_cae_j,company_gva_cae_l,company_gva_cae_m,company_gva_cae_n,company_gva_cae_p,company_gva_cae_q,company_gva_cae_r,company_gva_cae_s,company_gva_total,company_births_af,company_births_ice,company_births_s,company_births_total
Mêda,2023,809,636,173,2.8,366,1,40,1,0,52,103,18,63,4,5,33,44,16,34,10,19,794,11,4,0,0,428,0,0,0,0,187,189,19,161,5,5,51,57,16,47,15,27,1322,3737,0,0,0,0,6164,3969,83,2628,24,-23,911,539,77,542,269,280,21658,30,6,40,76
Mêda,2024,849,666,183,3.0,385,1,41,0,0,55,102,17,66,4,6,41,52,14,37,10,18,832,12,5,0,0,458,0,0,0,0,187,183,17,174,5,6,64,65,14,52,18,26,1383,3981,0,0,0,0,5897,3674,158,2900,44,-42,1099,484,76,851,174,289,22707,44,6,48,98
Nazaré,2016,1907,1465,442,23.1,160,1,80,2,1,95,436,23,375,14,49,115,249,89,78,53,87,1863,29,10,4,1,251,0,759,0,0,197,755,111,903,18,78,155,423,142,122,56,123,4165,3047,0,11654,0,0,3407,10027,3672,13838,197,1277,1967,3497,829,1522,254,1041,58289,10,26,265,301
Nazaré,2017,2037,1572,465,24.7,164,1,76,2,1,93,433,26,449,13,55,129,272,89,85,61,88,1993,30,9,4,1,273,0,819,0,0,204,719,130,1008,15,92,175,357,139,141,64,123,4342,3863,0,14717,0,0,3649,8452,3869,16682,290,1251,2272,3828,679,1807,251,1167,64366,18,16,317,351
Nazaré,2018,2086,1595,491,25.3,156,1,74,2,1,94,412,25,521,17,58,132,259,91,94,54,95,2034,34,12,5,1,241,0,852,0,0,206,732,136,1124,19,99,161,372,140,149,61,134,4509,3801,0,16056,0,0,5589,8972,3503,18979,341,1888,2237,3939,399,2096,319,1200,70908,8,18,283,309
Nazaré,2019,2140,1600,540,26.0,160,0,74,2,1,95,423,27,551,15,57,134,261,97,91,60,92,2089,32,13,5,1,300,0,867,0,0,214,769,134,1287,17,109,178,371,144,152,63,127,4839,3734,0,15341,0,0,3844,9633,4064,21214,346,1913,1919,3580,122,2370,274,1318,72646,11,23,249,283
Nazaré,2020,2093,1541,552,25.4,159,0,73,3,1,92,397,30,501,20,60,130,276,106,94,59,92,2045,31,11,5,1,273,0,809,0,0,199,698,146,1201,28,90,169,378,149,149,65,122,4602,3530,0,12017,0,0,6308,8446,4442,13508,373,1066,1986,3305,138,1962,167,677,59422,11,21,241,273
Nazaré,2021,2177,1619,558,26.4,152,1,75,1,3,105,402,27,552,23,62,132,292,99,102,57,92,2124,35,12,5,1,279,0,721,0,0,231,693,157,1205,31,92,171,387,138,157,66,120,4584,3856,0,15551,0,0,5429,10697,5220,17913,1228,2404,2649,4250,-15,2335,395,845,74841,5,27,240,272
Nazaré,2022,2419,1843,576,29.3,143,1,76,3,3,112,411,31,666,29,70,152,349,99,102,72,100,2363,35,14,6,1,262,0,772,3,0,246,728,192,1433,37,104,201,448,141,148,81,134,5068,4210,0,17491,0,0,5880,13017,6272,29907,1109,7896,3379,3980,28,2363,807,1293,101575,9,32,388,429
Nazaré,2023,2629,2025,604,31.9,143,1,73,1,3,115,401,38,786,43,80,166,368,100,110,86,115,2558,49,14,7,1,265,0,798,0,161,260,714,230,1713,50,0,217,469,143,159,100,149,5545,5682,0,18781,0,3935,11276,11313,8131,36710,1179,0,3977,4931,163,2518,1067,1478,115123,8,25,443,476
Nazaré,2024,2617,1968,649,31.7,130,4,74,0,3,127,406,44,785,43,81,172,325,96,112,90,125,2541,51,16,8,1,0,16,0,0,160,283,742,254,1823,55,123,238,434,135,206,106,164,5771,0,415,0,0,5056,9113,12763,9069,39999,1392,6985,4269,4534,239,3682,1234,1707,123222,2,28,290,320
Nelas,2016,1254,940,314,10.0,281,0,70,7,0,77,236,23,102,8,19,94,122,62,72,34,47,1222,12,11,7,2,305,0,1469,7,0,313,583,51,216,16,28,159,151,64,176,38,66,3642,1028,0,47124,178,0,3979,8916,866,2137,337,315,3468,1242,208,2622,125,556,73100,20,16,104,140
Nelas,2017,1274,951,323,10.1,280,0,76,7,0,70,232,24,111,10,23,93,127,65,76,32,48,1232,22,11,7,2,309,0,1700,7,0,319,525,57,230,23,33,179,161,67,205,37,65,3917,1111,0,61991,21,0,4457,7820,838,2684,262,1229,4216,1266,261,2794,58,598,89607,20,13,116,149
Nelas,2018,1228,905,323,9.8,216,0,76,6,0,75,226,23,110,9,24,93,139,75,77,28,51,1184,22,14,6,2,243,0,1811,6,0,329,536,66,245,32,34,167,180,76,199,31,68,4023,1293,0,72947,137,0,5474,8774,928,2970,388,1171,6496,1471,307,3100,58,627,106140,16,15,122,153
Nelas,2019,1207,875,332,9.6,220,0,74,7,0,81,217,24,106,8,29,95,125,65,79,25,52,1163,23,12,7,2,250,0,1755,7,0,353,532,54,237,36,40,178,176,80,234,30,67,4029,1212,0,80109,68,0,5804,8838,909,2905,717,1725,4362,1571,386,3336,91,546,112577,18,13,104,135
Nelas,2020,1197,861,336,9.5,198,0,78,8,0,85,216,18,103,10,28,103,135,59,79,25,52,1155,19,16,5,2,236,0,1720,8,0,364,513,42,209,49,37,184,198,66,237,34,63,3960,1188,0,75379,165,0,6621,8836,771,1772,742,1988,3484,1522,369,2202,107,472,105618,11,15,101,127
Nelas,2021,1257,903,354,10.0,204,0,80,6,0,95,216,27,98,9,31,112,146,63,85,25,60,1217,19,14,5,2,242,0,1718,6,0,373,518,63,202,39,42,146,208,72,236,34,68,3967,1512,0,86705,93,0,7040,10190,1176,1836,1045,1760,1944,1555,395,3404,100,470,119226,17,17,140,174
Nelas,2022,1299,939,360,10.3,201,0,80,6,0,93,204,25,98,9,35,112,160,68,109,30,69,1261,14,16,6,2,235,0,1711,6,0,404,501,62,221,43,48,144,196,77,284,40,79,4051,1573,0,97053,18,0,7429,10589,1244,3107,1247,1638,1631,1781,418,3933,301,640,132602,23,19,155,197
Nelas,2023,1305,932,373,10.4,178,0,82,7,0,93,196,24,95,12,34,118,180,71,103,38,74,1265,17,15,6,2,216,0,1737,7,0,421,503,75,239,42,50,152,218,81,274,47,82,4144,1552,0,109811,157,0,9312,11106,2050,3774,1612,829,1877,1781,525,4618,378,652,150034,13,15,148,176
Nelas,2024,1354,961,393,10.8,165,0,82,5,0,97,208,25,102,15,37,123,189,82,107,39,78,1311,20,15,6,2,214,0,1852,5,0,443,543,77,261,46,54,167,223,94,294,44,90,4407,1798,0,108473,162,0,10019,11900,1792,4298,1514,2128,2805,1942,645,5011,310,723,153520,12,19,147,178
Nisa,2016,770,629,141,1.3,216,1,57,1,0,51,147,11,72,4,7,29,77,24,28,12,33,761,5,4,0,0,254,0,166,0,0,110,283,40,133,0,14,33,77,24,44,12,37,1233,1249,0,2311,0,0,1111,3432,1340,1623,0,221,220,368,89,341,7,280,12519,22,11,58,91
Nisa,2017,770,623,147,1.3,206,1,62,1,0,52,148,12,70,4,7,29,88,21,30,6,33,760,5,5,0,0,250,0,172,0,0,0,311,38,128,4,14,34,90,22,52,6,37,1273,1391,0,2317,0,0,0,3689,1037,1725,32,357,270,496,106,468,6,264,13260,16,16,59,91
Nisa,2018,771,613,158,1.3,205,1,64,1,0,49,145,11,72,4,7,36,80,20,34,6,36,762,6,3,0,0,240,0,161,0,0,115,273,36,0,4,14,41,82,20,59,6,40,1217,1108,0,2778,0,0,1174,3666,1173,0,69,841,176,469,107,522,33,248,14015,20,14,59,93
Nisa,2019,746,589,157,1.3,209,1,67,1,0,48,138,9,74,3,8,34,64,21,31,5,33,735,7,4,0,0,249,0,172,0,0,108,262,35,129,0,22,39,66,21,51,6,36,1202,1219,0,2687,0,0,1091,3596,1477,1796,0,603,369,443,128,529,31,234,14226,16,3,42,61
Nisa,2020,732,575,157,1.3,202,2,67,1,0,51,131,8,66,3,9,39,66,20,25,7,35,723,6,3,0,0,246,0,158,0,0,99,243,10,126,0,19,42,67,20,43,8,38,1125,1337,0,2397,0,0,1074,3708,116,1138,0,450,324,371,64,406,12,183,11608,9,8,51,68
Nisa,2021,755,586,169,1.3,212,2,70,1,0,49,129,4,63,4,9,41,70,22,38,7,34,746,6,3,0,0,264,0,164,0,0,88,248,5,112,4,19,42,74,22,59,8,37,1149,903,0,2525,0,0,1130,3936,86,1383,43,412,261,437,133,505,14,222,12004,20,10,54,84
Nisa,2022,770,585,185,1.3,208,1,70,1,0,48,124,5,67,3,10,49,87,23,39,5,30,761,6,3,0,0,252,0,155,0,0,98,234,5,124,0,22,52,91,23,61,6,33,1161,692,0,2575,0,0,1039,4078,75,1901,0,495,506,464,153,697,46,244,12990,18,8,70,96
Nisa,2023,782,593,189,1.4,210,1,69,1,0,55,120,8,69,3,12,49,86,22,37,8,32,772,7,3,0,0,259,0,156,0,0,107,234,14,131,3,29,56,92,22,56,0,35,1205,1607,0,2452,0,0,1165,4061,243,2150,12,759,554,540,151,824,0,206,14797,21,11,50,82
Nisa,2024,781,592,189,1.4,203,0,67,1,0,57,113,8,71,3,12,46,95,26,34,7,38,771,7,3,0,0,261,0,154,0,0,110,233,13,132,3,0,51,99,26,46,8,39,1204,2670,0,2702,0,0,1368,3929,314,2386,13,0,704,562,172,674,91,217,16655,9,9,71,89
Nordeste,2016,436,391,45,4.3,222,0,20,0,1,14,57,6,33,1,2,10,30,15,7,3,15,432,1,3,0,0,248,0,24,0,0,70,103,6,49,0,0,13,30,15,10,3,16,631,3152,0,215,0,0,1009,960,16,866,0,0,235,94,45,148,11,76,7254,6,5,24,35
Nordeste,2017,433,383,50,4.3,216,0,20,0,1,15,58,5,34,0,3,12,26,19,5,3,16,429,1,3,0,0,245,0,28,0,0,71,94,0,57,0,3,15,26,19,8,3,17,611,3267,0,266,0,0,1052,885,0,973,0,13,235,103,34,191,2,72,7486,15,3,31,49
Nordeste,2018,468,419,49,4.6,218,0,20,0,1,19,63,5,44,0,3,11,29,22,8,3,22,463,3,2,0,0,239,0,27,0,0,91,99,0,81,0,3,14,31,22,11,3,23,668,3681,0,326,0,0,1175,1115,0,1432,0,47,251,161,83,185,24,77,8857,16,9,54,79
Nordeste,2019,463,412,51,4.6,209,0,20,0,1,18,60,6,48,0,1,13,33,21,8,3,22,458,3,2,0,0,238,0,34,0,0,91,96,6,97,0,0,16,0,21,11,3,24,693,3651,0,364,0,0,1290,1138,14,1285,0,0,225,0,99,201,22,90,8977,3,5,35,43
Nordeste,2020,447,395,52,4.4,201,1,16,0,1,23,58,6,46,1,2,9,32,18,8,2,23,441,2,4,0,0,229,0,26,0,0,94,94,6,102,0,0,11,36,18,11,0,25,678,3475,0,244,0,0,1172,1018,8,450,0,0,224,246,85,151,0,153,7600,7,8,35,50
Nordeste,2021,457,401,56,4.5,196,1,18,0,1,21,58,6,54,1,5,10,32,21,9,3,21,451,2,3,1,0,215,0,26,0,0,112,95,6,107,0,5,14,38,21,14,3,22,701,2380,0,318,0,0,1495,1035,6,580,0,91,235,259,101,174,18,117,7220,6,4,30,40
Nordeste,2022,471,415,56,4.6,195,1,17,0,1,26,52,6,58,2,5,9,37,23,11,3,25,464,4,2,1,0,211,0,25,0,0,140,92,0,103,0,5,12,0,23,15,3,27,735,3042,0,332,0,0,1859,1414,0,1544,0,126,275,0,170,240,40,146,9857,10,7,32,49
Nordeste,2023,472,412,60,4.7,174,1,15,0,1,27,54,4,60,2,6,12,42,27,13,6,28,465,3,3,1,0,190,0,21,0,0,146,95,4,106,0,6,16,0,27,16,6,30,744,3753,0,255,0,0,2426,1535,7,1843,0,22,176,0,217,268,28,188,11763,5,6,55,66
Nordeste,2024,508,436,72,5.0,180,1,15,0,1,33,53,7,76,2,10,15,43,26,14,5,27,502,2,3,1,0,204,0,20,0,0,156,101,7,110,0,10,18,0,26,18,5,27,781,3549,0,339,0,0,2994,1343,12,2115,0,213,335,0,267,293,26,155,12976,5,10,49,64
Odemira,2016,3327,2563,764,1.9,1064,0,116,4,0,217,506,38,472,18,65,156,336,95,89,48,103,3218,64,21,22,2,4313,0,232,4,0,672,1239,85,1240,25,100,266,801,135,115,67,181,9475,70076,0,2603,7,0,10586,19196,1539,22429,238,1927,4282,9090,75,1270,453,2529,146299,138,57,310,505
Odemira,2017,3458,2638,820,2.0,1056,0,118,4,0,219,516,36,517,22,69,166,373,95,97,57,113,3333,66,36,20,3,5036,0,234,4,0,688,1304,90,1360,29,101,279,900,135,126,77,193,10556,86846,0,3191,8,0,10691,21246,1796,25943,245,2198,4419,9409,160,1485,595,2536,170770,135,47,340,522
Odemira,2018,3704,2822,882,2.2,1111,0,128,7,0,244,514,44,576,22,73,176,423,95,106,64,121,3561,71,36,32,4,6217,0,255,7,0,735,1305,109,1554,29,113,289,1069,134,133,80,209,12238,99692,0,2993,11,0,12030,22519,2172,28321,493,2938,4189,11606,173,1757,614,2447,191955,166,52,416,634
Odemira,2019,3728,2768,960,2.2,1076,0,130,7,0,247,527,49,620,24,78,177,386,94,101,73,139,3552,85,43,40,8,8735,0,253,7,0,773,1413,120,1668,33,111,293,1090,136,136,90,219,15077,123927,0,2952,15,0,14392,23541,2607,30836,809,3418,4627,13270,311,1839,628,3010,226182,120,42,360,522
Odemira,2020,3804,2749,1055,2.2,1152,0,125,8,0,252,535,63,594,22,72,186,400,82,102,66,145,3610,76,55,51,12,11616,0,277,8,0,911,1409,148,1506,27,107,320,1003,129,138,76,233,17908,135712,0,3712,15,0,14817,23806,2222,22090,706,3543,5063,10898,168,1865,300,2005,226920,168,41,278,487
Odemira,2021,3925,2796,1129,2.3,1188,0,125,7,0,245,540,85,583,23,83,202,420,85,113,78,148,3726,88,53,49,9,10394,0,291,7,0,830,1570,164,1478,28,117,348,1124,133,152,89,240,16965,153036,0,3954,7,0,17934,25107,3203,23278,823,4742,5933,12126,119,2133,661,1620,254675,156,35,342,533
Odemira,2022,4199,2999,1200,2.4,1141,0,136,7,0,280,561,147,618,24,98,236,468,109,119,92,163,3963,96,63,66,11,14011,0,0,7,0,877,1648,249,1581,29,145,403,1575,149,0,105,250,21479,145856,0,0,4,0,18538,29502,4145,33172,1264,5921,6773,18945,294,0,1206,3844,275513,128,69,467,664
Odemira,2023,4644,3347,1297,2.7,1191,0,135,3,0,290,580,323,662,26,100,247,565,111,127,106,178,4349,113,101,72,9,14319,0,324,3,0,946,1682,444,1668,28,162,415,1689,171,202,126,260,22439,179375,0,4483,3,0,23941,32545,5393,36787,1194,5539,8182,17312,320,2568,1542,3933,323116,183,49,659,891
Odemira,2024,5074,3673,1401,2.9,1247,0,143,3,0,334,593,477,691,33,105,260,609,105,136,132,206,4743,116,110,91,14,18295,0,341,4,0,1105,1481,792,1758,35,169,425,2370,157,221,162,291,27606,222688,0,4889,75,0,26786,33749,7926,36617,1189,5899,8476,18679,589,3160,2002,5282,378007,164,79,666,909
Odivelas,2016,14848,10101,4747,559.5,190,0,491,3,16,1097,2827,461,936,305,366,1499,3313,638,1370,411,925,14466,261,88,29,4,314,0,3501,3,61,3738,6692,834,2171,1132,483,2266,6450,1473,2207,467,1270,33062,1921,0,81630,4,899,70400,110490,10631,19766,23329,9483,34354,53663,15615,28666,3250,7977,472077,26,195,2538,2759
Odivelas,2017,15688,10665,5023,591.1,186,0,482,5,16,1143,2795,484,958,330,431,1564,3765,664,1415,487,963,15291,264,96,33,4,334,0,3586,5,55,4253,6815,871,2242,1234,587,2501,7023,1508,2357,547,1284,35202,1844,0,83914,1,694,77785,118240,11457,24303,25179,14030,38638,62244,16427,31333,4042,8860,518989,19,199,2809,3027
Odivelas,2018,16326,10974,5352,615.1,188,0,483,5,19,1231,2740,602,1018,355,488,1607,3946,660,1454,516,1014,15912,263,105,39,7,299,0,3606,5,164,4954,6906,1034,2456,1517,690,2547,7650,1360,2479,585,1354,37606,2536,0,90523,2,5782,105453,124164,12273,28233,32011,20606,47433,72477,12348,33449,4405,9968,601662,30,250,2901,3181
Odivelas,2019,17058,11175,5883,642.7,189,0,478,4,20,1323,2776,868,1070,379,569,1613,4090,645,1462,525,1047,16605,288,113,45,7,414,0,3675,4,230,5396,7192,1349,2675,1379,785,2695,8373,1385,2586,626,1384,40148,2250,0,101081,3,6771,121366,135079,14503,33038,28232,19385,54500,74007,13055,36747,5449,9769,655234,17,260,3132,3409
Odivelas,2020,16823,10813,6010,633.9,188,0,456,7,18,1337,2666,1056,1022,348,619,1617,3852,644,1497,494,1002,16359,289,124,45,6,394,0,2997,24,182,5405,7121,1552,2589,1368,855,2873,10257,1362,2610,590,1314,41493,1955,0,64379,117,6820,130406,126095,11436,20847,27485,23487,58301,62391,11867,33831,3260,7263,589941,25,192,2350,2567
Odivelas,2021,17660,11428,6232,665.4,172,0,467,9,17,1453,2659,1236,995,397,696,1688,4096,628,1600,514,1033,17188,285,128,54,5,336,0,2871,16,179,5789,7146,1798,2598,1459,939,2928,10382,1381,2764,577,1315,42478,1365,0,67578,23,14126,125790,132792,18092,24233,32355,22974,61984,70756,13402,40152,4389,8129,638139,23,275,3007,3305
Odivelas,2022,19741,13129,6612,743.8,165,0,483,19,17,1525,2671,1727,1035,480,756,1767,5064,686,1673,568,1105,19247,292,143,52,7,464,0,2633,21,194,6386,7225,2407,2796,1684,1513,2969,8797,1442,2788,648,1410,43377,1873,0,69775,-22,9540,153439,156441,29766,38234,45657,36942,66317,88589,15964,44294,6112,10429,773352,20,288,4158,4466
Odivelas,2023,21603,14397,7206,814.0,169,0,483,14,18,1622,2641,2415,1069,565,788,1841,5826,729,1667,600,1156,21042,341,158,55,7,650,0,3032,14,206,6823,7394,3438,3134,1946,1122,3061,9812,1484,2908,713,1460,47197,2060,0,90424,-7,9972,168093,179689,38071,46503,55801,27182,66845,102485,17575,48238,8576,11225,872734,22,283,4532,4837
Odivelas,2024,23598,15939,7659,889.1,187,0,515,15,19,1757,2715,3126,1075,623,834,1917,6385,751,1735,648,1296,22972,377,172,71,6,1328,0,3140,15,268,7598,7980,4503,3516,1267,1211,3909,9213,1531,3044,775,1752,51050,3726,0,98027,6,12218,185709,198339,47363,52947,41875,35807,88660,92755,20296,55041,7914,12410,953093,30,309,4804,5143
Oeiras,2016,22999,14440,8559,501.3,419,3,452,72,25,798,3104,334,1254,906,1000,3990,4661,1283,2507,1141,1050,22020,424,278,209,68,0,0,7554,156,1230,13726,31274,2382,10840,10724,1523,11537,28967,2389,7882,2034,1842,134705,0,0,441093,105329,34583,411604,1656842,120299,176441,587302,96869,338960,654994,28140,219552,30173,15093,4930351,64,162,3642,3868
Oeiras,2017,24223,15299,8924,528.0,421,3,455,78,25,825,3128,380,1371,969,1154,4188,5071,1318,2553,1212,1072,23218,428,293,209,75,678,3,8604,163,1152,12725,32264,2601,11086,11432,1661,12249,36938,2497,8904,2183,1824,146964,28898,9,462101,-22236,32153,254171,1787028,122264,196891,589296,116751,343904,750313,31024,278195,31313,16423,5018499,54,156,3961,4171
Oeiras,2018,24653,15171,9482,537.3,427,3,455,86,27,870,3069,521,1562,1032,1312,4175,4972,1297,2570,1182,1093,23610,449,298,223,73,0,0,8552,165,1114,12046,34768,2786,12205,11138,1921,12934,31264,2645,9539,2106,1852,145771,0,0,482794,89950,26857,352658,1703623,135793,233134,574171,125881,378898,751659,33462,268616,33483,17342,5217407,51,169,3974,4194
Oeiras,2019,25493,15366,10127,555.6,401,3,477,114,26,954,3078,718,1632,1106,1449,4249,5057,1301,2571,1243,1114,24407,479,309,218,80,0,0,8592,190,940,13687,36264,3131,12957,11961,2082,13780,26421,2651,10256,2451,1847,147970,0,0,467507,143047,25855,406704,1816116,103928,257917,642479,159708,421622,685843,35103,295438,52566,18371,5548823,30,247,3992,4269
Oeiras,2020,25095,14590,10505,547.0,429,3,456,135,25,973,3007,756,1626,1115,1483,4337,4669,1228,2566,1225,1062,24028,477,293,217,80,0,0,8056,258,856,12110,44577,3007,11699,12790,2161,13814,26886,2545,10631,2657,1753,155025,0,0,420764,147851,22700,307437,1991932,90125,165349,742121,99050,421093,676796,31166,345417,26917,12981,5515224,51,165,2915,3131
Oeiras,2021,25772,14940,10832,561.7,395,1,469,135,24,1031,3039,768,1494,1197,1635,4478,4857,1282,2680,1218,1069,24690,487,290,223,82,846,0,7791,289,0,12836,45504,3073,14272,13896,2361,15032,25709,2626,11263,2644,1657,160464,25282,0,474172,118330,0,319969,2157722,96416,225325,735408,151381,485459,697466,34385,425121,26119,12460,6011397,41,187,3672,3900
Oeiras,2022,27777,16406,11371,605.4,389,3,484,163,26,1100,3070,880,1550,1352,1791,4670,5510,1378,2834,1391,1186,26653,486,315,245,78,867,150,8028,351,674,11694,46497,3085,15269,14208,2497,15667,23293,2839,11675,2802,1808,161404,21980,7096,492411,144121,23218,394606,2382042,90294,330121,806355,153560,542651,715648,41318,456043,47186,15927,6664575,36,261,4529,4826
Oeiras,2023,29402,17409,11993,640.8,379,3,499,155,21,1180,3088,1084,1660,1532,1888,4910,5956,1417,2913,1436,1281,28227,517,326,250,82,851,159,6236,338,629,12017,49360,3818,16283,15918,2667,16759,22807,2932,12619,2873,2396,168662,34280,9986,498738,160200,28174,482022,2674179,147581,425584,997008,170194,622704,798684,55792,529839,51452,2503,7688920,36,238,4713,4987
Oeiras,2024,30409,18101,12308,662.8,366,2,504,159,18,1242,3063,1199,1695,1644,1970,5084,6116,1471,2981,1524,1371,29188,534,351,248,88,0,0,6280,382,635,12739,45579,4072,17564,17252,2905,18497,24353,3052,14756,2708,2528,174301,0,0,474826,140856,33855,608952,2796693,159801,456104,1192087,182288,729002,905216,62449,496503,55966,29768,8367256,35,237,4383,4655
Oleiros,2016,510,375,135,1.1,99,0,42,3,1,54,122,28,54,6,4,19,29,11,17,9,12,500,7,2,1,0,135,0,289,3,0,120,200,44,84,6,4,26,30,0,22,13,19,1009,1632,0,6634,31346,0,1036,2432,603,763,98,-2,190,228,0,278,165,56,45521,28,4,36,68
Oleiros,2017,519,386,133,1.1,104,0,46,3,0,51,115,31,49,5,2,26,38,11,17,8,13,509,7,2,1,0,140,0,297,3,0,114,194,48,79,0,0,39,40,12,22,12,14,1021,1556,0,6498,28845,0,1144,2549,380,921,0,0,265,315,69,259,299,133,43302,25,10,42,77
Oleiros,2018,509,371,138,1.1,98,0,45,3,0,58,113,23,50,6,5,23,30,12,21,8,14,499,7,2,1,0,132,0,295,3,0,131,196,38,88,6,5,30,32,13,27,13,15,1024,1503,0,8923,30958,0,1678,3041,605,1061,53,-1,256,275,61,326,212,105,49056,20,12,36,68
Oleiros,2019,503,362,141,1.1,99,0,43,3,0,54,109,24,57,5,4,23,31,10,18,9,14,494,6,2,1,0,138,0,291,3,0,139,180,42,103,5,4,33,34,12,23,14,15,1036,1867,0,9442,32103,0,2023,2948,594,1203,55,0,277,303,93,314,187,121,51531,13,6,27,46
Oleiros,2020,550,406,144,1.2,116,0,40,3,0,56,113,25,72,5,5,21,34,12,24,4,20,538,9,2,1,0,154,0,249,3,0,144,196,42,110,5,5,31,37,13,29,35,30,1083,2228,0,8931,28935,0,2202,3164,706,865,45,-1,316,334,66,271,236,70,48367,23,6,42,71
Oleiros,2021,545,391,154,1.2,109,0,43,3,1,56,113,22,63,8,6,22,38,11,25,5,20,531,11,2,1,0,149,0,258,3,0,151,184,33,102,0,6,28,41,12,31,24,29,1060,2312,0,10332,30162,0,2518,3737,468,1013,0,22,231,243,88,305,681,75,52288,12,6,38,56
Oleiros,2022,539,375,164,1.1,94,0,44,4,0,59,107,21,63,10,8,23,39,11,25,11,20,523,12,3,1,0,148,0,270,4,0,161,183,28,103,10,8,29,40,12,32,30,30,1088,2789,0,18321,31234,0,2445,4322,384,1390,196,44,320,305,87,340,1203,169,63550,11,7,45,63
Oleiros,2023,625,457,168,1.3,126,0,44,6,0,56,101,23,99,10,7,31,48,13,29,12,20,611,9,4,1,0,182,0,280,6,0,157,175,34,152,10,7,38,49,14,39,40,30,1213,2997,0,16637,29849,0,3083,4011,454,2015,173,99,362,436,113,699,1762,207,62898,21,7,63,91
Oleiros,2024,615,441,174,1.3,125,0,43,6,0,56,105,20,90,11,5,29,47,14,34,11,19,601,7,6,1,0,190,0,291,6,0,151,183,29,141,11,5,35,50,15,49,41,27,1224,3314,0,13732,20690,0,3014,5068,413,2437,195,90,454,495,137,871,2208,247,53364,19,8,44,71
Olhão,2016,5140,4083,1057,39.3,709,6,176,13,4,425,965,57,580,33,124,355,822,227,264,133,247,5003,80,38,19,0,1719,59,938,13,219,1150,2131,269,1257,35,180,556,1032,297,357,207,321,10740,20131,1412,15886,21,4365,16903,34077,4037,16449,255,2172,7378,7152,1777,3445,2014,1944,139418,64,92,659,815
Olhão,2017,5459,4345,1114,41.7,735,5,174,12,3,468,942,56,647,34,148,372,949,231,260,153,270,5303,96,40,20,0,1710,57,895,12,226,1321,2230,282,1522,47,211,588,1344,308,346,242,351,11692,20307,1453,15936,18,4416,21451,37033,4675,22306,490,4277,8654,8785,2518,3738,2278,2532,160868,80,100,742,922
Olhão,2018,5569,4373,1196,42.6,710,6,182,14,4,475,949,61,691,34,156,364,977,238,278,143,287,5405,99,44,21,0,1608,0,943,14,228,1410,2287,299,1569,0,252,587,1322,316,376,232,373,11925,21279,0,19346,20,4835,22448,39088,5079,23584,0,5782,10200,11086,2745,4129,1867,2885,176547,82,119,768,969
Olhão,2019,5810,4523,1287,44.4,718,6,189,14,4,517,962,80,728,39,170,368,1012,256,296,151,300,5639,104,48,19,0,1607,0,988,14,224,1501,2339,355,1707,0,277,606,1398,341,394,232,426,12531,23256,0,19151,19,5160,29841,42259,5831,27582,0,5601,11301,12246,3193,4752,2369,3067,197915,58,109,721,888
Olhão,2020,5713,4380,1333,43.7,719,6,185,16,4,523,937,98,693,47,168,381,942,247,286,148,313,5547,99,49,18,0,1588,0,1000,16,234,1528,2298,332,1399,0,264,620,1383,330,385,224,381,12100,23706,0,20644,24,5247,27899,39757,4332,14564,0,4541,11006,9763,2463,4458,1249,2289,174529,52,73,584,709
Olhão,2021,5959,4554,1405,45.5,757,7,190,15,4,580,939,100,770,54,180,400,933,242,323,159,306,5779,107,55,17,1,3250,0,967,15,234,1595,2326,362,1533,0,272,634,1437,320,431,237,372,14122,30249,0,22426,8,4910,30651,43645,5407,19858,0,6280,12486,12637,2572,5575,2280,2444,204277,76,105,657,838
Olhão,2022,6436,4978,1458,49.2,757,6,202,28,4,596,951,117,965,61,189,435,1023,271,318,186,327,6241,115,61,18,1,2792,61,1060,28,248,1712,2458,359,1963,82,284,673,1496,354,418,271,398,14657,30210,1899,32299,44,5345,34534,54679,6479,35632,1938,5498,13256,16045,3465,6075,4060,3602,255062,79,110,824,1013
