territory,year,company_total,company_individual,company_society,company_density,company_nr_cae_a,company_nr_cae_b,company_nr_cae_c,company_nr_cae_d,company_nr_cae_e,company_nr_cae_f,company_nr_cae_g,company_nr_cae_h,company_nr_cae_i,company_nr_cae_j,company_nr_cae_l,company_nr_cae_m,company_nr_cae_n,company_nr_cae_p,company_nr_cae_q,company_nr_cae_r,company_nr_cae_s,company_nr_employee_[<10],company_nr_employee_[10-19],company_nr_employee_[20-49],company_nr_employee_[50-249],company_nr_employee_[>249],company_employee_nr_cae_a,company_employee_nr_cae_b,company_employee_nr_cae_c,company_employee_nr_cae_d,company_employee_nr_cae_e,company_employee_nr_cae_f,company_employee_nr_cae_g,company_employee_nr_cae_h,company_employee_nr_cae_i,company_employee_nr_cae_j,company_employee_nr_cae_l,company_employee_nr_cae_m,company_employee_nr_cae_n,company_employee_nr_cae_p,company_employee_nr_cae_q,company_employee_nr_cae_r,company_employee_nr_cae_s,company_employee_nr_total,company_gva_cae_a,company_gva_cae_b,company_gva_cae_c,company_gva_cae_d,company_gva_cae_e,company_gva_cae_f,company_gva_cae_g,company_gva_cae_h,company_gva_cae_i,company_gva_cae_j,company_gva_cae_l,company_gva_cae_m,company_gva_cae_n,company_gva_cae_p,company_gva_cae_q,company_gva_cae_r,company_gva_cae_s,company_gva_total,company_births_af,company_births_ice,company_births_s,company_births_total
Albufeira,2023,11732,8213,3519,83.4,382,1,147,13,4,962,1182,858,3424,116,656,682,1723,218,355,340,669,11334,232,108,56,2,593,0,508,13,0,2156,3533,1306,12495,268,1018,1181,2783,307,591,583,768,28110,8266,0,12875,53,0,43964,92708,15364,393139,16527,35685,33969,44489,3327,13472,16090,5201,735245,55,254,2255,2564
Albufeira,2024,12443,8742,3701,88.5,384,0,160,16,5,1016,1195,981,3458,142,682,707,1962,229,379,376,751,11981,271,130,58,3,998,0,570,16,7,2495,3687,1575,12926,197,1113,1242,3099,329,636,660,854,30404,7518,0,14386,-5,92,54263,91407,19152,396515,4957,38462,35933,49368,3846,14658,18043,6521,755115,53,209,1889,2151
Alcanena,2016,1500,926,574,11.8,76,0,214,8,5,74,428,33,106,9,42,114,172,59,51,23,86,1410,46,30,12,2,91,0,2602,8,60,204,1320,994,168,88,67,337,178,97,68,38,101,6421,494,0,66131,11,2805,3091,33015,20119,1794,1579,27130,7576,768,1412,833,435,817,168011,4,20,140,164
Alcanena,2017,1532,957,575,12.0,74,0,215,8,5,72,416,29,105,8,49,113,201,65,62,26,84,1448,41,30,11,2,94,0,2438,8,63,226,1287,987,166,87,79,333,211,105,79,44,99,6306,619,0,61037,16,2740,4028,24664,20155,2146,1560,29636,8046,1195,1560,779,559,933,159674,6,14,160,180
Alcanena,2018,1535,967,568,12.1,80,0,211,8,5,65,404,30,109,7,49,119,203,73,63,27,82,1448,48,27,10,2,97,0,2445,8,52,218,1349,1036,177,44,86,341,213,113,76,45,102,6402,719,0,57906,42,2375,4184,27059,20208,2089,1331,30836,6239,1109,1449,720,560,853,157680,12,12,135,159
Alcanena,2019,1542,955,587,12.1,78,0,212,7,7,68,405,30,112,7,56,118,197,70,64,27,84,1459,43,27,11,2,93,0,2355,7,75,237,1421,1077,184,43,95,337,205,111,77,45,101,6463,591,0,49044,8,2654,6129,16004,21803,2265,1300,30330,6326,966,1528,750,519,824,141040,9,23,147,179
Alcanena,2020,1495,913,582,11.7,79,1,196,7,6,67,400,34,102,6,58,124,174,69,62,25,85,1412,38,30,13,2,92,0,2251,0,73,334,1438,1083,172,42,102,345,177,109,80,44,106,6469,576,0,55319,0,2614,6906,21019,21707,1161,1352,31604,7638,756,1504,724,485,818,154365,5,15,93,113
Alcanena,2021,1526,910,616,12.0,82,1,189,5,7,70,415,35,97,8,63,134,176,72,63,25,84,1448,36,28,12,2,92,0,2166,5,74,330,1396,1073,153,0,109,355,180,113,78,41,100,6323,493,0,59794,2,2891,7470,42399,22221,1591,0,32993,8318,915,1648,908,504,933,184766,8,19,133,160
Alcanena,2022,1532,932,600,12.0,82,1,182,8,7,75,391,36,102,9,65,128,190,73,69,25,89,1449,44,24,13,2,92,0,2085,9,0,326,1406,1073,174,46,102,337,193,113,82,41,109,6266,619,0,57657,30,0,8518,37172,23005,2496,1678,33316,6802,1198,1464,1086,451,1142,178294,2,15,125,142
Alcanena,2023,1596,994,602,12.5,86,0,184,4,7,85,398,44,116,12,70,129,201,73,69,29,89,1518,44,20,12,2,96,0,1965,4,76,287,1332,1085,190,55,107,335,208,111,88,46,108,6093,592,0,58539,34,3697,7883,46673,24440,2917,2114,35679,11567,1396,1613,1100,544,1210,199997,10,20,177,207
Alcanena,2024,1629,1040,589,12.8,88,0,179,6,7,91,382,44,106,16,65,139,215,71,86,33,101,1553,44,20,10,2,97,0,1829,6,76,272,1272,1076,188,65,102,368,219,110,104,51,117,5952,684,0,51873,67,4071,6895,45671,26215,2279,2868,37103,11508,1614,1910,1329,820,1186,196092,6,26,182,214
Alcobaça,2016,6475,4347,2128,15.9,750,37,649,24,6,508,1460,93,506,74,195,496,710,251,273,135,308,6171,163,98,43,0,1413,291,5863,26,134,1497,4657,312,1201,116,260,749,942,403,526,175,412,18977,25412,9533,131919,1987,5237,22136,94206,8032,13660,2160,3804,10445,8315,4835,7620,992,3226,353519,81,132,669,882
Alcobaça,2017,6720,4520,2200,16.5,767,36,663,25,7,533,1479,88,546,63,202,516,790,248,295,145,317,6409,160,99,52,0,1552,296,6025,28,139,1554,4826,325,1259,107,275,775,1042,399,561,185,424,19772,32202,10285,135515,2020,4450,25838,107097,8487,16332,1948,1973,11766,9270,4851,7878,1065,3359,384337,86,117,686,889
Alcobaça,2018,6746,4469,2277,16.5,736,38,655,23,20,523,1485,87,584,66,210,510,771,247,303,154,334,6421,171,100,54,0,1503,301,6275,25,154,1621,4996,329,1366,120,296,824,1031,393,592,197,450,20473,26949,11001,150549,1955,4829,30138,114532,9161,18818,2082,4623,12753,10095,4359,8732,1584,3158,415319,69,112,642,823
Alcobaça,2019,6851,4467,2384,16.8,745,36,668,21,21,542,1473,92,612,64,222,521,749,249,331,163,342,6512,180,106,53,0,1541,315,6411,23,153,1704,5000,349,1539,113,313,845,991,405,634,215,455,21006,36047,13314,158534,2068,5226,30816,116737,9417,20774,2190,3802,13107,10194,4268,8871,1683,3257,440306,40,123,635,798
Alcobaça,2020,6737,4285,2452,16.5,714,36,668,24,19,546,1441,96,546,68,239,541,685,261,341,166,346,6388,188,107,54,0,1560,315,6322,26,140,1792,5013,368,1400,112,333,883,879,410,618,214,457,20842,34039,14274,147716,1885,5784,34358,119164,10519,13296,1846,4565,13542,7414,4277,8619,784,3223,425305,41,87,542,670
Alcobaça,2021,6987,4470,2517,17.1,717,35,672,26,20,590,1428,94,595,73,251,557,778,264,367,171,349,6644,189,97,57,0,1558,281,6432,27,140,1937,4847,383,1475,116,355,917,951,412,680,201,444,21156,25994,13075,167071,1806,7329,38144,132116,11693,15965,2736,8659,16052,8692,5095,11013,1004,3245,469689,44,109,619,772
Alcobaça,2022,7422,4772,2650,18.2,720,36,667,29,20,626,1443,105,658,81,277,603,888,285,403,207,374,7067,190,108,57,0,1610,283,6435,30,180,2051,4999,403,1646,117,399,986,1072,435,726,237,473,22082,27862,14429,192428,1029,9075,44650,147820,12750,26313,2186,9658,19624,12198,4670,11739,1794,3344,541568,55,110,821,986
Alcobaça,2023,7686,4919,2767,18.8,677,36,665,23,20,649,1447,127,716,103,302,615,995,290,412,221,388,7313,206,112,55,0,1440,290,6478,23,180,2180,5036,462,1784,144,432,1019,1197,438,772,252,493,22620,51965,15503,203830,1066,10179,52144,158914,14724,31233,3341,9998,21738,14523,4830,13316,1953,4865,614122,30,118,916,1064
Alcobaça,2024,8017,5172,2845,19.6,662,34,679,22,21,703,1480,153,730,130,311,657,1053,292,440,228,422,7638,206,120,53,0,1426,320,6392,23,184,2350,5093,484,1803,175,443,1115,1306,443,792,279,527,23155,50780,19766,215904,1102,9968,60856,160226,18774,34086,3712,12073,25331,16764,5265,14809,2962,5363,657744,45,138,886,1069
Alcochete,2016,1791,1267,524,14.0,100,0,80,3,3,85,314,16,144,41,45,225,297,104,160,91,83,1721,33,25,12,0,394,0,591,3,120,486,1557,80,313,54,62,371,428,193,207,103,119,5081,6106,0,21932,-11,4751,22374,41429,1820,2972,1177,10420,5930,5223,1838,2471,407,618,129458,8,22,277,307
Alcochete,2017,1828,1277,551,14.2,99,0,79,3,3,95,296,18,153,42,56,225,321,104,161,84,89,1766,30,22,9,1,381,0,591,3,125,561,1428,77,336,54,75,340,481,173,212,95,117,5049,5087,0,22496,-5,4463,26341,39115,1453,3565,1677,10115,5600,5191,1775,2192,783,686,130535,4,19,276,299
Alcochete,2018,1869,1276,593,14.6,103,0,82,3,3,101,291,25,161,40,67,229,312,102,165,87,98,1803,34,19,10,3,397,0,570,3,138,603,1532,70,385,62,90,333,403,166,228,96,132,5208,8106,0,23129,-4,5607,35160,46715,1001,4286,1580,17922,5671,4792,1859,2537,4509,671,163540,15,17,295,327
Alcochete,2019,1979,1329,650,15.4,107,0,85,3,5,104,311,37,164,48,78,234,333,96,169,101,104,1908,42,14,13,2,439,0,573,3,156,644,1576,77,409,80,96,325,426,162,237,117,140,5460,8522,0,25943,-14,5957,40909,60291,686,4990,1857,17136,7399,5634,2027,2796,6212,1000,191345,15,21,317,353
