territory,year,population_total,population_density,population_pp_pc
Belmonte,2023,6197,52.3,74.5
Belmonte,2024,6241,52.8,
Benavente,2016,28969,55.5,
Benavente,2017,28931,55.5,94.4
Benavente,2018,28957,55.6,
Benavente,2019,29071,55.9,93.9
Benavente,2020,29513,57.3,
Benavente,2021,30312,59.0,96.7
Benavente,2022,31172,60.6,
Benavente,2023,31959,62.0,95.8
Benavente,2024,32727,63.5,
Bombarral,2016,12622,137.7,
Bombarral,2017,12537,136.9,83.5
Bombarral,2018,12474,136.3,
Bombarral,2019,12450,136.4,82.0
Bombarral,2020,12648,140.7,
Bombarral,2021,13038,145.0,85.3
Bombarral,2022,13391,148.4,
Bombarral,2023,13770,153.2,82.9
Bombarral,2024,14131,156.3,
Borba,2016,6823,46.6,
Borba,2017,6730,46.1,73.9
Borba,2018,6643,45.4,
Borba,2019,6550,44.8,75.5
Borba,2020,6495,44.7,
Borba,2021,6475,44.5,75.8
Borba,2022,6433,44.1,
Borba,2023,6401,44.1,77.3
Borba,2024,6388,43.9,
Boticas,2016,5292,16.3,
Boticas,2017,5238,16.2,59.0
Boticas,2018,5185,16.0,
Boticas,2019,5124,15.8,60.7
Boticas,2020,5053,15.6,
Boticas,2021,4974,15.3,65.8
Boticas,2022,4917,15.2,
Boticas,2023,4892,15.2,65.9
Boticas,2024,4859,15.0,
Braga,2016,185038,1012.1,
Braga,2017,186432,1021.0,107.0
Braga,2018,188349,1033.0,
Braga,2019,191066,1050.6,108.8
Braga,2020,193292,1057.3,
Braga,2021,194588,1064.7,105.4
Braga,2022,196765,1081.0,
Braga,2023,199919,1099.1,105.5
Braga,2024,202551,1109.7,
Bragança,2016,34917,29.7,
Bragança,2017,34896,29.7,96.5
Bragança,2018,34890,29.7,
Bragança,2019,34934,29.8,97.0
Bragança,2020,34874,29.6,
Bragança,2021,34749,29.6,95.9
Bragança,2022,34887,29.9,
Bragança,2023,35231,30.2,94.9
Bragança,2024,35503,30.3,
Cabeceiras de Basto,2016,15916,65.5,
Cabeceiras de Basto,2017,15785,65.0,65.4
Cabeceiras de Basto,2018,15683,64.7,
Cabeceiras de Basto,2019,15627,64.6,66.5
Cabeceiras de Basto,2020,15627,64.7,
Cabeceiras de Basto,2021,15585,64.2,69.0
Cabeceiras de Basto,2022,15520,64.1,
Cabeceiras de Basto,2023,15535,64.3,69.8
Cabeceiras de Basto,2024,15549,64.3,
Cadaval,2016,13577,77.3,
Cadaval,2017,13443,76.5,70.8
Cadaval,2018,13311,75.7,
Cadaval,2019,13234,75.6,72.4
Cadaval,2020,13360,77.2,
Cadaval,2021,13670,79.1,76.0
Cadaval,2022,13954,80.4,
Cadaval,2023,14252,82.5,75.3
Cadaval,2024,14573,84.1,
Caldas da Rainha,2016,50817,198.3,
Caldas da Rainha,2017,50655,197.9,98.1
Caldas da Rainha,2018,50575,197.7,
Caldas da Rainha,2019,50712,198.9,98.1
Caldas da Rainha,2020,51053,200.4,
Caldas da Rainha,2021,51606,203.3,98.8
Caldas da Rainha,2022,52357,206.3,
Caldas da Rainha,2023,53442,211.8,99.8
Caldas da Rainha,2024,54676,215.9,
Calheta [R.A.A.],2016,3579,28.2,
Calheta [R.A.A.],2017,3538,27.9,77.1
Calheta [R.A.A.],2018,3505,27.6,
Calheta [R.A.A.],2019,3483,27.5,77.7
Calheta [R.A.A.],2020,3479,27.6,
Calheta [R.A.A.],2021,3500,27.9,72.3
Calheta [R.A.A.],2022,3516,27.8,
Calheta [R.A.A.],2023,3504,27.7,73.7
Calheta [R.A.A.],2024,3490,27.6,
Calheta [R.A.M.],2016,10781,96.3,
Calheta [R.A.M.],2017,10718,95.9,62.8
Calheta [R.A.M.],2018,10710,96.2,
Calheta [R.A.M.],2019,10765,96.9,64.8
Calheta [R.A.M.],2020,10891,98.5,
Calheta [R.A.M.],2021,10974,98.4,67.1
Calheta [R.A.M.],2022,10972,98.4,
Calheta [R.A.M.],2023,11069,100.1,68.4
Calheta [R.A.M.],2024,11270,102.0,
Caminha,2016,16045,117.1,
Caminha,2017,15940,116.4,78.9
Caminha,2018,15873,116.1,
Caminha,2019,15848,116.0,79.3
Caminha,2020,15863,116.3,
Caminha,2021,15917,116.8,86.5
Caminha,2022,16078,118.7,
Caminha,2023,16324,120.4,82.1
Caminha,2024,16523,121.6,
Campo Maior,2016,8271,33.4,
Campo Maior,2017,8231,33.2,94.0
Campo Maior,2018,8199,33.1,
Campo Maior,2019,8175,33.0,95.8
Campo Maior,2020,8142,32.8,
Campo Maior,2021,8073,32.5,90.6
Campo Maior,2022,7994,32.2,
Campo Maior,2023,7936,32.0,89.4
Campo Maior,2024,7897,31.9,
Cantanhede,2016,35019,89.2,
Cantanhede,2017,34757,88.6,79.8
Cantanhede,2018,34547,88.2,
Cantanhede,2019,34451,88.1,81.2
Cantanhede,2020,34437,88.1,
Cantanhede,2021,34410,88.0,84.4
Cantanhede,2022,34419,88.1,
Cantanhede,2023,34681,89.3,83.3
Cantanhede,2024,35158,90.6,
Carrazeda de Ansiães,2016,5771,20.5,
Carrazeda de Ansiães,2017,5706,20.3,63.0
Carrazeda de Ansiães,2018,5648,20.1,
Carrazeda de Ansiães,2019,5611,20.1,62.1
Carrazeda de Ansiães,2020,5558,19.8,
Carrazeda de Ansiães,2021,5470,19.4,67.9
Carrazeda de Ansiães,2022,5411,19.3,
Carrazeda de Ansiães,2023,5393,19.3,69.5
Carrazeda de Ansiães,2024,5379,19.2,
Carregal do Sal,2016,9353,79.5,
Carregal do Sal,2017,9252,78.8,70.9
Carregal do Sal,2018,9179,78.3,
Carregal do Sal,2019,9139,78.1,72.7
Carregal do Sal,2020,9112,77.8,
Carregal do Sal,2021,9093,77.7,72.9
Carregal do Sal,2022,9082,77.7,
Carregal do Sal,2023,9128,78.5,74.7
Carregal do Sal,2024,9219,79.2,
Cartaxo,2016,23490,147.8,
Cartaxo,2017,23292,146.7,86.5
Cartaxo,2018,23113,145.6,
Cartaxo,2019,23004,145.3,87.2
Cartaxo,2020,23151,147.4,
Cartaxo,2021,23514,149.9,90.2
Cartaxo,2022,23852,151.7,
Cartaxo,2023,24178,154.0,90.3
Cartaxo,2024,24535,156.2,
Cascais,2016,210172,2162.4,
Cascais,2017,211250,2175.4,122.1
Cascais,2018,212337,2184.7,
Cascais,2019,213838,2206.2,118.0
Cascais,2020,214965,2207.9,
Cascais,2021,214462,2195.9,121.8
Cascais,2022,215551,2230.2,
Cascais,2023,218431,2255.0,117.6
Cascais,2024,220988,2282.7,
Castanheira de Pêra,2016,2881,42.6,
Castanheira de Pêra,2017,2820,41.8,65.6
Castanheira de Pêra,2018,2775,41.3,
Castanheira de Pêra,2019,2736,40.7,66.6
Castanheira de Pêra,2020,2702,40.3,
Castanheira de Pêra,2021,2691,40.3,72.5
Castanheira de Pêra,2022,2688,40.2,
Castanheira de Pêra,2023,2696,40.6,71.5
Castanheira de Pêra,2024,2733,41.3,
Castelo Branco,2016,53846,37.3,
Castelo Branco,2017,53465,37.0,95.8
Castelo Branco,2018,53081,36.8,
Castelo Branco,2019,52830,36.7,96.5
Castelo Branco,2020,52684,36.6,
Castelo Branco,2021,52533,36.5,96.2
Castelo Branco,2022,52486,36.5,
Castelo Branco,2023,52707,36.8,96.4
Castelo Branco,2024,53128,37.1,
Castelo de Paiva,2016,15991,138.4,
Castelo de Paiva,2017,15880,137.7,65.7
Castelo de Paiva,2018,15789,136.8,
Castelo de Paiva,2019,15701,136.2,68.1
Castelo de Paiva,2020,15631,135.6,
Castelo de Paiva,2021,15525,134.3,70.6
Castelo de Paiva,2022,15421,133.8,
Castelo de Paiva,2023,15420,134.3,71.2
Castelo de Paiva,2024,15422,133.9,
Castelo de Vide,2016,3283,12.3,
Castelo de Vide,2017,3236,12.1,81.6
Castelo de Vide,2018,3194,12.0,
Castelo de Vide,2019,3156,11.9,84.1
Castelo de Vide,2020,3168,12.1,
