territory,year,population_total,company_total,company_individual,company_society,company_density,company_nr_cae_a,company_nr_cae_b,company_nr_cae_c,company_nr_cae_d,company_nr_cae_e,company_nr_cae_f,company_nr_cae_g,company_nr_cae_h,company_nr_cae_i,company_nr_cae_j,company_nr_cae_l,company_nr_cae_m,company_nr_cae_n,company_nr_cae_p,company_nr_cae_q,company_nr_cae_r,company_nr_cae_s,company_nr_employee_[<10],company_nr_employee_[10-19],company_nr_employee_[20-49],company_nr_employee_[50-249],company_nr_employee_[>249],company_employee_nr_cae_a,company_employee_nr_cae_b,company_employee_nr_cae_c,company_employee_nr_cae_d,company_employee_nr_cae_e,company_employee_nr_cae_f,company_employee_nr_cae_g,company_employee_nr_cae_h,company_employee_nr_cae_i,company_employee_nr_cae_j,company_employee_nr_cae_l,company_employee_nr_cae_m,company_employee_nr_cae_n,company_employee_nr_cae_p,company_employee_nr_cae_q,company_employee_nr_cae_r,company_employee_nr_cae_s,company_employee_nr_total,company_gva_cae_a,company_gva_cae_b,company_gva_cae_c,company_gva_cae_d,company_gva_cae_e,company_gva_cae_f,company_gva_cae_g,company_gva_cae_h,company_gva_cae_i,company_gva_cae_j,company_gva_cae_l,company_gva_cae_m,company_gva_cae_n,company_gva_cae_p,company_gva_cae_q,company_gva_cae_r,company_gva_cae_s,company_gva_total,company_births_af,company_births_ice,company_births_s,company_births_total
Arronches,2019,2892,1182.5726141078837,888.6583679114799,293.91424619640384,1.1,525.5878284923928,0.0,51.86721991701245,0.0,0.0,72.61410788381743,131.3969571230982,6.915629322268326,107.19225449515905,6.915629322268326,10.373443983402488,76.07192254495159,65.6984785615491,24.20470262793914,44.95159059474412,13.831258644536652,44.95159059474412,1161.8257261410788,6.915629322268326,13.831258644536652,0.0,0.0,809.1286307053941,0.0,165.9751037344398,0.0,0.0,121.02351313969571,280.08298755186723,0.0,242.04702627939142,0.0,10.373443983402488,100.27662517289073,210.92669432918396,24.20470262793914,48.40940525587828,13.831258644536652,44.95159059474412,2085.0622406639004,6521.4384508990315,0.0,3112.033195020747,0.0,0.0,829.8755186721992,2866.528354080221,0.0,4253.112033195021,0.0,352.6970954356846,1573.305670816044,3807.0539419087136,145.22821576763485,359.61272475795295,121.02351313969571,228.21576763485476,24284.232365145228,34.57814661134163,17.289073305670815,89.90318118948824,141.77040110650069
Arronches,2020,2843,1206.4720365810763,882.8702075272599,323.6018290538164,1.1,555.750967288076,0.0,49.243756595145975,0.0,0.0,59.79599015124868,140.6964474147028,10.552233556102708,91.4526908195568,7.034822370735139,10.552233556102708,66.83081252198382,80.9004572634541,17.58705592683785,52.761167780513546,21.104467112205416,42.20893422441083,1185.367569468871,10.552233556102708,10.552233556102708,0.0,0.0,833.6264509321139,0.0,147.73126978543792,0.0,0.0,140.6964474147028,270.8406612733028,0.0,246.21878297572985,0.0,14.069644741470277,105.52233556102709,200.49243756595146,17.58705592683785,56.27857896588111,21.104467112205416,42.20893422441083,2113.964122405909,5691.171297924728,0.0,1892.3672177277524,0.0,0.0,1473.7952866690116,3404.8540274358074,0.0,3489.271895884629,0.0,232.1491382342596,1741.118536756947,2254.660569820612,102.00492437565951,358.7759409074921,123.10939148786493,161.8009145269082,21115.01934576152,35.1741118536757,10.552233556102708,66.83081252198382,112.55715793176222
Arronches,2021,2804,1262.4821683309558,909.4151212553495,353.0670470756063,1.1,549.2154065620542,0.0,39.22967189728959,0.0,0.0,60.62767475035664,156.91868758915837,7.132667617689016,92.72467902995722,14.265335235378032,14.265335235378032,74.89300998573466,92.72467902995722,21.398002853067048,67.76034236804566,32.097004279600576,39.22967189728959,1237.5178316690442,14.265335235378032,10.699001426533524,0.0,0.0,820.2567760342369,0.0,139.0870185449358,0.0,0.0,174.7503566333809,281.74037089871615,0.0,260.3423680456491,0.0,17.83166904422254,110.55634807417975,203.28102710413697,21.398002853067048,67.76034236804566,42.796005706134096,39.22967189728959,2200.4279600570617,5631.241084165478,0.0,2796.0057061340945,0.0,0.0,1929.3865905848788,3655.492154065621,0.0,4129.8145506419405,0.0,156.91868758915837,1961.4835948644795,3116.9757489301,114.12268188302426,345.93437945791726,196.14835948644793,146.21968616262484,24522.111269614838,35.66333808844508,0.0,96.29101283880172,131.9543509272468
Arronches,2022,2782,1319.194823867721,959.7411933860532,359.45363048166786,1.2,546.3695183321352,0.0,32.350826743350105,0.0,0.0,75.48526240115025,161.75413371675054,10.783608914450037,93.45794392523365,7.1890726096333575,14.378145219266715,82.67433501078361,111.43062544931703,17.97268152408339,82.67433501078361,39.53989935298346,43.13443565780015,1294.0330697340044,10.783608914450037,14.378145219266715,0.0,0.0,841.1214953271028,0.0,136.5923795830338,0.0,0.0,0.0,294.75197699496766,10.783608914450037,269.5902228612509,0.0,14.378145219266715,115.02516175413372,115.02516175413372,17.97268152408339,86.2688713156003,50.3235082674335,43.13443565780015,2311.2868439971244,5690.150970524803,0.0,3098.4902947519768,0.0,0.0,0.0,3975.5571531272467,53.91804457225018,5578.720345075485,0.0,219.2667145938174,2264.5578720345075,722.5017972681524,129.40330697340042,427.74982027318475,219.2667145938174,154.56506110711717,27149.532710280375,39.53989935298346,10.783608914450037,104.24155283968368,154.56506110711717
Arronches,2023,2772,1381.6738816738816,1006.4935064935065,375.18037518037517,1.2,566.3780663780664,0.0,36.075036075036074,3.6075036075036073,0.0,75.75757575757575,151.5151515151515,14.43001443001443,104.61760461760461,7.215007215007215,18.037518037518037,82.97258297258297,122.65512265512265,28.86002886002886,90.18759018759019,36.075036075036074,43.29004329004329,1356.4213564213564,14.43001443001443,10.822510822510823,0.0,0.0,826.1183261183261,0.0,122.65512265512265,0.0,0.0,328.2828282828283,270.56277056277054,14.43001443001443,281.38528138528136,0.0,18.037518037518037,111.83261183261183,126.26262626262626,28.86002886002886,93.79509379509379,46.897546897546896,43.29004329004329,2323.2323232323233,4862.914862914863,0.0,3315.2958152958154,0.0,0.0,5606.060606060606,3997.113997113997,-3.6075036075036073,6461.038961038961,0.0,147.9076479076479,2518.037518037518,775.6132756132756,104.61760461760461,508.65800865800867,209.23520923520923,176.76767676767676,29126.984126984127,61.32756132756133,7.215007215007215,115.44011544011543,183.982683982684
Arronches,2024,2768,1419.7976878612717,1011.5606936416185,408.2369942196532,1.2,559.971098265896,0.0,50.578034682080926,3.6127167630057806,0.0,68.64161849710983,151.73410404624278,14.450867052023122,111.9942196531792,10.838150289017342,18.063583815028903,97.54335260115607,115.60693641618498,21.676300578034684,86.70520231213874,57.80346820809249,50.578034682080926,1387.2832369942198,18.063583815028903,14.450867052023122,0.0,0.0,838.150289017341,0.0,158.95953757225433,0.0,0.0,314.3063583815029,256.50289017341044,14.450867052023122,296.242774566474,14.450867052023122,0.0,130.0578034682081,119.21965317919076,21.676300578034684,90.31791907514452,57.80346820809249,50.578034682080926,2384.393063583815,7749.277456647399,0.0,3829.4797687861274,0.0,0.0,5787.57225433526,3511.5606936416184,-75.86705202312139,7875.722543352602,690.0289017341041,0.0,3056.35838150289,581.6473988439307,111.9942196531792,639.4508670520231,242.0520231213873,234.82658959537574,34331.64739884393,36.127167630057805,21.676300578034684,122.83236994219654,180.63583815028903
Arruda dos Vinhos,2016,13537,1225.5300288099284,807.4167097584399,418.11331905148853,21.3,108.59126837556327,0.0,77.56519169683091,6.648445002585507,8.125877225382286,66.48445002585507,269.6313806604122,59.836005023269564,71.6554628056438,22.90019945335008,45.80039890670016,98.24924281598582,142.5722094998892,65.74573391445668,87.16850114500998,32.503508901529145,62.05215335746473,1176.0360493462363,32.503508901529145,14.035606116569403,2.216148334195169,0.7387161113983897,154.39166728226343,0.0,451.35554406441605,8.864593336780676,78.3039078082293,163.2562606190441,609.4407919036714,720.2482086134299,170.64342173302802,49.493979463692106,50.232695575090496,164.7336928418409,171.3821378444264,69.43931447144863,127.79788727192141,33.98094112432592,81.25877225382285,3104.8238162074317,1512.1518800325036,0.0,8202.703700967719,-19.94533500775652,2495.38302430376,2306.2716997857724,9637.29038930339,18011.376228115536,2096.47632414863,1146.4874048903007,1518.8003250350891,2874.3443894511342,1877.8163551747066,242.2988845386718,1574.9427495013667,147.74322227967792,505.28182019649853,54128.6843466056,6.648445002585507,19.20661889635813,138.87862894289725,164.7336928418409
Arruda dos Vinhos,2017,13591,1244.9415054079907,804.2086675005519,440.73283790743875,21.7,108.15981164005592,0.0,77.99278934589067,6.622029284085056,8.829372378780075,64.74873077772055,268.5600765212273,58.8624825252005,62.54138768302553,23.5449930100802,52.97623427268045,101.53778235597086,157.45714075491134,66.95607387241557,87.55794275623575,38.996394672945335,59.59826355676551,1197.8515193878302,27.223898167905233,16.922963725995142,2.2073430946950188,0.7357810315650063,151.5708925023913,0.0,439.2612758443087,8.09359134721507,82.4074755352807,183.20947685968656,598.9257596939151,766.6838348907365,199.3966595541167,41.20373776764035,57.39092046207049,175.8516665440365,189.09572511220662,68.42763593554558,134.64792877639616,40.467956736075344,75.78544625119565,3212.4199838128175,1752.6304171878448,0.0,9025.825914207931,36.789051578250316,2406.0039732175705,2565.668457067177,10521.66875137959,18958.134059303953,2497.9766021631963,866.0142741520124,1833.5663306599956,2921.78647634464,1957.1775439629166,295.04819365756754,1533.367669781473,233.978368037672,476.05032742255906,57881.68641012435,8.09359134721507,15.451401662865132,141.2699580604812,164.8149510705614
Arruda dos Vinhos,2018,13624,1303.5819142689372,844.0986494421609,459.48326482677624,22.8,110.09982384028186,0.0,80.73987081620669,4.403992953611274,7.33998825601879,76.33587786259541,265.7075748678802,56.51790957134468,70.46388725778039,21.285965942454492,53.58191426893717,119.64180857310627,169.55372871403404,66.0598943041691,92.48385202583675,42.571931884908985,66.79389312977099,1246.3300058719906,34.49794480328831,19.083969465648853,2.935995302407516,0.733998825601879,168.0857310628303,0.0,493.24721080446267,4.403992953611274,80.73987081620669,247.35760422783324,587.1990604815032,822.0786846741045,209.1896652965355,43.305930710510864,63.12389900176159,204.05167351732237,208.45566647093364,68.26189078097475,157.809747504404,50.64591896652965,77.80387551379917,3485.7604227833235,1792.4251321197885,0.0,12030.974750440399,2.935995302407516,2446.4180857310625,6222.108044627128,10339.84145625367,21254.403992953612,2996.917204932472,625.366999412801,2220.346447445684,3607.604227833235,2324.574280681151,324.4274809160305,1789.489136817381,357.45742806811506,540.9571344685849,68874.77980035232,13.9459776864357,26.423957721667644,169.55372871403404,209.9236641221374
Arruda dos Vinhos,2019,13719,1330.2718857059554,847.0005102412713,483.27137546468407,23.4,104.96391865296305,0.0,77.26510678620892,4.373496610540127,8.018077119323566,86.74101610904586,269.6989576499745,62.68678475107516,75.07835848093885,23.32531525621401,54.66870763175159,118.08440848458343,173.48203221809172,67.06028136161528,94.03017712661273,40.81930169837452,69.97594576864203,1275.6031780742037,33.53014068080764,16.76507034040382,2.9156644070267514,1.4578322035133757,172.02420001457833,0.0,469.42196953130696,4.373496610540127,73.62052627742547,290.1086084991618,617.3919381879147,985.494569575042,228.1507398498433,34.98797288432102,64.87353305634522,213.57241781470955,219.40374662876306,71.43377797215541,159.63262628471463,50.295211021211465,80.18077119323567,3734.9661054012686,1930.1698374517096,0.0,13214.520008746995,-0.7289161017566879,1443.9827975799988,6544.937677673301,10336.030322909834,23391.64662147387,3969.677090166922,622.4943509002114,2003.0614476273781,4516.364166484438,2714.483562941906,391.4279466433414,2181.6458925577667,480.3557110576573,606.4581966615643,74346.52671477513,10.20482542459363,17.49398644216051,165.46395509876814,193.16276696552228
Arruda dos Vinhos,2020,13940,1307.7474892395983,822.0946915351507,485.65279770444766,23.4,101.1477761836442,0.0,72.45337159253945,5.738880918220947,8.608321377331421,89.6700143472023,248.92395982783358,63.84505021520804,71.73601147776183,22.23816355810617,56.67144906743185,122.66857962697274,162.84074605451937,66.71449067431851,104.01721664275468,40.17216642754663,70.30129124820661,1253.2281205164993,32.281205164992826,15.781922525107605,5.738880918220947,0.7173601147776184,162.12338593974175,0.0,446.91535150645626,5.738880918220947,77.47489239598279,299.8565279770445,613.3428981348637,845.0502152080345,229.55523672883788,35.86800573888092,68.86657101865137,223.81635581061695,212.33859397417504,71.01865136298423,175.0358680057389,48.06312769010044,77.47489239598279,3592.539454806313,1583.9311334289814,0.0,11929.698708751794,-2.8694404591104736,1312.7690100430416,7093.974175035869,10944.763271162125,24354.375896700145,2776.901004304161,837.8766140602584,2289.0961262553806,3594.691535150646,2501.4347202295553,398.85222381635583,1772.5968436154951,277.6183644189383,495.69583931133434,72162.12338593975,5.0215208034433285,13.62984218077475,130.55954088952655,149.21090387374463
Arruda dos Vinhos,2021,14255,1284.461592423711,787.7937565766398,496.6678358470712,23.5,101.01718695194668,0.0,71.5538407576289,3.50754121360926,7.716590669940372,88.39003858295335,244.1248684672045,61.73272535952297,68.04629954401965,25.25429673798667,66.64328305857593,122.7639424763241,162.0484040687478,62.434233602244824,98.21115398105928,38.58295334970186,62.434233602244824,1237.460540161347,23.851280252542967,16.836197825324447,4.910557699052964,1.403016485443704,151.52578042792004,0.0,448.96527534198526,3.50754121360926,67.34479130129779,291.8274289722904,590.6699403717994,784.2862153630305,338.12697299193263,44.896527534198526,79.97193967029112,210.4524728165556,206.24342336022448,63.13574184496668,176.07856892318486,45.598035776920376,93.30059628200631,3595.9312521922134,2079.9719396702912,0.0,13341.283760084181,0.701508242721852,2389.337074710628,11345.492809540512,12947.0361276745,25379.165205191162,3033.321641529288,-190.1087337776219,2833.39179235356,4667.134338828481,3134.3388284812345,363.3812697299193,2019.6422307962118,330.4103823219923,980.0070150824272,84654.5071904595,8.418098912662224,13.328656611715187,125.5699754472115,147.31673097158892
Arruda dos Vinhos,2022,14671,1323.0181991684274,811.1239860950174,511.8942130734101,24.9,94.0631177152205,0.0,69.52491309385863,9.542635130529616,7.497784745416126,86.56533296980437,246.06366300865653,62.708745143480336,64.75359552859382,23.856587826324038,70.20652988889645,130.18880785222547,179.94683388998703,77.70431463431258,98.15281848544748,39.53377411219412,62.708745143480336,1269.8520891554767,29.309522186626676,17.722036670983574,4.771317565264808,1.3632335900756594,152.68216208847386,0.0,477.1317565264808,9.542635130529616,62.0271283484425,287.64228750596413,605.2757139935927,833.6173403312657,249.47174698384566,51.80287642287506,83.15724899461523,237.88426146820257,226.9783927475973,78.38593142935042,186.76300184036535,46.34994206257242,87.2469497648422,3675.9593756390154,2633.767296026174,0.0,14802.671937836547,2.044850385113489,2070.0702065298888,10519.391997818826,14704.5191193511,27631.38163724354,4056.9831640651623,73.61461386408561,2997.750664576375,5493.1497512098695,3748.8923727080632,443.73253356962715,2952.763956103878,528.9346329493559,1010.1560902460636,93668.4615908936,6.816167950378297,17.722036670983574,171.7674323495331,196.30563697089497
Arruda dos Vinhos,2023,15116,1342.9478698068272,824.9536914527653,517.9941783540619,26.0,85.34003704683778,0.0,71.44747287642232,5.292405398253506,6.615506747816883,91.95554379465467,238.81979359618947,60.86266207991532,62.1857634294787,28.446679015612595,72.10902355120402,134.29478698068272,206.40381053188673,75.41677692511246,94.60174649378142,43.66234453559142,65.49351680338714,1290.6853664990738,25.80047631648584,19.846520243450648,4.630854723471818,1.9846520243450647,127.67928023286584,0.0,525.9327864514422,5.292405398253506,46.308547234718176,302.32865837523156,617.2267795713151,814.3688806562583,235.51204022228103,52.924053982535064,84.0169356972744,248.7430537179148,310.9288171473935,75.41677692511246,203.0960571579783,54.24715533209844,70.78592220164064,3774.808150304313,2686.557290288436,0.0,18487.69515744906,3.3077533739084415,1960.836200052924,9508.467848637205,15228.896533474464,25835.53850224927,4889.521037311458,1159.0367822175178,2085.2077269118813,6005.557025668166,6659.830643027256,529.2405398253507,3444.694363588251,787.9068536649908,540.4869012966393,99812.78115903678,3.3077533739084415,19.846520243450648,164.72611802064037,187.88039163799945
