territory,year,population_total,unemployment_total,unemployment_female,unemployment_male,unemployment[<25],unemployment[25-34],unemployment[35-44],unemployment[45-54],unemployment[>54],unemployment_el_b1,unemployment_el_b2,unemployment_el_b3,unemployment_el_hs,unemployment_el_c,unemployment_el_ne
Mêda,2018,4657,156.96800515353232,97.27292248228473,59.69508267124758,23.835086965857847,32.85376852050677,33.71269057333047,22.11724286021044,44.66394674683273,32.42430749409491,17.822632596091907,35.21580416577195,42.51664161477346,24.2645479922697,4.93880180373631
Mêda,2019,4625,125.83783783783784,76.75675675675676,49.08108108108108,16.864864864864863,23.56756756756757,36.972972972972975,16.864864864864863,31.35135135135135,24.864864864864863,12.972972972972972,26.378378378378375,31.35135135135135,24.43243243243243,5.837837837837838
Mêda,2020,4619,158.25936349859276,81.61939813812515,76.63996536046763,21.866204806235118,36.588006061918165,44.59839792162806,25.54665512015588,29.876596665945012,24.680666810998055,18.835245724182723,33.12405282528686,56.93873132712709,20.134228187919465,4.329941545789132
Mêda,2021,4614,192.8912006935414,111.61681837884699,81.2743823146944,32.29302123970525,45.08019072388384,44.6467273515388,29.475509319462507,41.395752058951025,29.908972691807545,33.15994798439532,43.346337234503686,53.96618985695709,21.022973558734286,11.486779367143477
Mêda,2022,4593,142.172871761376,76.85608534726758,65.09906379272806,24.16721097322012,38.75462660570434,26.779882429784458,28.521663400827347,23.949488351839758,20.465926409753976,25.69126932288265,18.07097757457,47.463531460918794,24.16721097322012,6.09623339865012
Mêda,2023,4574,120.46348928727592,64.49497157848711,55.96851770878881,14.648010494097072,33.0126803672934,32.35679930039353,20.113686051595977,20.55094009619589,20.113686051595977,17.05290773939659,16.178399650196766,43.944031482291216,20.9881941407958,2.1862702229995628
Mêda,2024,4583,110.84442504909448,64.36831769583243,46.47610735326206,15.492035784420684,27.056513200960072,33.16604843988654,15.710233471525203,19.637791839406503,16.58302421994327,10.473488981016802,17.23761728125682,40.58476980144011,24.001745581496838,2.181976871045167
Nazaré,2016,14931,369.4996986136227,202.12979706650592,167.36990154711674,48.422744625276266,81.64222088272722,84.18726140245127,81.24037237961288,74.00709932355501,66.43895251490189,68.71609403254972,72.80155381421204,98.38590851249079,50.833835643962225,12.323354095505993
Nazaré,2017,14889,302.77385989656796,172.27483376989724,130.4990261266707,31.701255960776415,63.066693532137826,68.5069514406609,64.88011283497885,74.68600980589697,60.312982738934785,45.6041372825576,55.74585264289073,85.43219826717711,45.40264624890859,10.343206393982136
Nazaré,2018,14863,243.22142232389155,141.49229630626388,101.79640718562875,21.260849088340176,44.80925788871694,53.69037206485905,48.1060351207697,75.35490816120569,53.152122720850436,38.888515104622215,42.992666352687884,65.80098230505281,33.371459328533945,8.948395344143176
Nazaré,2019,14882,218.9221878779734,125.65515387716705,93.26703400080635,18.814675446848543,39.37642789947588,46.16315011423196,45.02083053353044,69.6142991533396,42.19862921650316,36.823007660260714,44.41607310845316,52.68109125117592,35.14312592393495,7.794651256551539
Nazaré,2020,14911,324.3243243243243,183.95815170008717,140.36617262423715,45.80511032123935,65.38796861377506,70.28368318690899,67.19871236000267,75.71591442559185,46.8781436523372,51.90798739185836,75.31352692643014,100.59687479042317,38.22681242036081,11.400979142914625
Nazaré,2021,14984,297.18366257341165,160.7047517351842,136.54564869193806,33.90282968499733,56.92738921516284,61.93272824345969,61.332087560064075,83.08862786972772,45.31500266951415,43.04591564335291,65.53657234383343,93.56647090229578,36.70581954084357,13.080619327282436
Nazaré,2022,15204,247.69797421731124,132.92554590897132,114.77242830833991,33.47803209681663,41.23914759273875,46.500920810313076,49.72375690607735,76.82188897658511,29.40015785319653,40.05524861878453,46.369376479873715,83.33333333333334,32.42567745330176,16.179952644041045
Nazaré,2023,15525,261.70692431562,141.256038647343,120.45088566827697,35.61996779388084,51.59420289855072,51.14331723027376,49.533011272141714,73.75201288244766,26.602254428341382,38.51851851851852,49.08212560386474,99.38808373590983,29.436392914653787,18.679549114331724
Nazaré,2024,15777,243.3288964948976,129.1753818850225,114.15351460987512,36.69899220384103,52.4814603536794,44.55853457564809,47.09387082461811,62.49603853711098,19.0784052734994,30.170501362743234,45.9529695125816,102.87126830195855,25.289979083475945,20.029156366863155
Nelas,2016,13408,402.6700477326969,222.10620525059667,180.6384248210024,56.98090692124106,71.97195704057279,77.04355608591885,80.02684964200478,116.64677804295943,83.01014319809069,69.28699284009546,77.11813842482101,76.89439140811456,56.309665871121716,40.12529832935561
Nelas,2017,13321,370.24247428871706,218.97755423766984,151.2649200510472,53.899857368065454,62.382704001201105,82.27610539749267,75.9702725020644,95.78860445912468,63.50874558967044,65.46055100968395,68.76360633586066,85.05367464905036,55.17603783499737,32.35492830868554
Nelas,2018,13222,324.61049765542276,183.1795492361216,141.43094841930116,43.336862804416874,55.4379065194373,71.3205263954016,69.65663288458629,84.8585690515807,58.23627287853577,58.38753592497353,58.4631674481924,65.34563606111027,45.37891393132657,38.79897141128422
Nelas,2019,13155,292.20828582288107,167.6168757126568,124.59141011022426,32.839224629418474,48.650703154694035,66.36259977194983,62.71379703534778,81.64196123147093,47.96655264158115,52.90763968072976,59.97719498289624,66.43861649562905,36.18396047130369,28.734321550741164
Nelas,2020,13181,341.55223427661025,192.24641529474243,149.30581898186784,43.168196646688415,65.39716258250512,81.02571883772096,61.224489795918366,90.7366664137774,59.024353235718074,65.47302936044306,81.40505272741066,79.50838327896214,39.83005841741901,16.159623700781427
Nelas,2021,13216,327.8601694915254,187.8783292978208,139.98184019370458,36.92493946731234,57.58171912832929,62.72699757869249,64.08898305084746,106.61319612590799,56.144067796610166,65.29963680387408,65.75363196125907,76.64951573849878,37.530266343825666,26.55871670702179
Nelas,2022,13182,265.58944014565316,154.22545895918677,111.3639811864664,27.537551206190255,50.37171901077227,48.171749355181305,52.64754968896981,86.78500986193293,47.10969503868912,49.08208162646032,55.302685480200275,66.98528296161432,25.868608708845397,21.241086329843725
Nelas,2023,13239,277.43787295112924,152.35289674446707,125.08497620666212,25.530629201601325,50.53251756174938,51.741068056499735,60.578593549361734,88.97953017599517,47.05793488934209,46.9068660774983,53.10068736309388,81.50162398972732,23.566734647631993,25.304025983835636
Nelas,2024,13416,274.5974955277281,154.51699463327373,120.15503875968992,28.47346451997615,45.02087060226595,53.29457364341086,65.5933214072749,82.21526535480024,44.871794871794876,40.84675014907573,52.02742993440668,82.96064400715564,22.13774597495528,31.902206320810972
Nisa,2016,6583,398.60246088409536,203.25079750873465,195.35166337536077,50.12912046179554,94.3338903235607,80.51040559015647,86.28284976454503,87.34619474403767,66.38310800546864,55.74965821054231,76.40893209782773,98.4353638158894,58.9396931490202,42.83761203098891
Nisa,2017,6401,368.06748945477267,195.90688954850805,172.16059990626465,40.61865333541634,77.01921574753945,82.17466020934229,82.64333697859709,85.61162318387751,69.20793625995938,51.24199343852523,54.366505233557255,90.29839087642556,59.8344008748633,42.805811591938756
Nisa,2018,6256,317.7749360613811,176.79028132992326,140.9846547314578,46.67519181585677,58.024296675191806,59.942455242966744,66.49616368286445,86.63682864450128,64.09846547314578,57.86445012787724,59.622762148337586,55.62659846547314,42.19948849104859,38.5230179028133
Nisa,2019,6138,280.71032909742587,147.2792440534376,133.26816552623004,47.246660149885955,42.847833170413814,51.80840664711632,59.79146301726947,79.0159661127403,55.55555555555556,41.05571847507331,40.241120886282175,65.98240469208211,33.88725969371131,44.15118931247964
Nisa,2020,6033,321.89623736118017,161.27962870876846,160.45085363832257,56.52245980440909,59.67180507210344,55.03066467760651,64.47870048068954,86.19260732637163,55.03066467760651,52.21282943809051,51.38405436764462,90.17072766451186,31.16194264876513,41.936018564561586
Nisa,2021,5906,326.7863189976295,166.7795462241788,160.00677277345073,48.763968845242125,53.16627158821537,59.76972570267524,75.85506264815442,89.40060954961056,39.620724686759225,52.488994243142564,49.77988486285133,103.62343379613952,39.112766677954625,42.16051473078225
Nisa,2022,5778,299.93077189338874,149.35964001384562,150.5711318795431,49.32502596053998,50.709588092765664,49.844236760124616,71.47802007615091,78.40083073727934,41.3637937002423,46.036690896503984,48.11353409484251,87.5735548632745,35.30633437175493,41.3637937002423
Nisa,2023,5705,267.8352322524102,136.37160385626643,131.2883435582822,32.9535495179667,53.63716038562664,48.729184925503944,58.895705521472394,73.44434706397897,39.08851884312007,39.61437335670465,44.171779141104295,68.71165644171779,35.056967572305,41.367221735319895
Nisa,2024,5659,310.47888319491074,160.45237674500797,150.02650644990283,36.04877186782117,61.49496377451847,54.77999646580668,66.7962537550804,91.18218766566532,42.58702951051423,43.64728750662661,49.65541615126348,96.48347764622726,39.93638452023326,38.34599752606468
Nordeste,2016,4676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordeste,2017,4613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordeste,2018,4555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordeste,2019,4498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordeste,2020,4452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordeste,2021,4437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordeste,2022,4438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordeste,2023,4437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordeste,2024,4438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odemira,2016,26531,399.796464513211,214.57917153518525,185.2172929780257,36.5610041084015,78.1350118729034,89.14100486223664,91.59096905506766,104.33078285778902,69.54129131958841,68.90053145377107,91.62866081188045,111.71836719309486,30.831857072858167,27.175756662018017
Odemira,2017,26851,294.0300175040036,163.3458716621355,130.6841458418681,20.855834047149084,56.83214777848125,65.65863468772113,65.39793676213176,85.32270678931884,45.063498566161414,48.1546311124353,64.16893225578191,88.00417116680944,24.654575248594096,24.021451715019925
Odemira,2018,27339,280.8442152236731,154.32166502066642,126.48597242035187,18.61809137130107,57.7197410292988,63.02351951424705,63.02351951424705,78.45934379457917,38.150627308972524,46.197739493031925,62.51143055707963,88.33534511137934,18.61809137130107,27.030981381908628
Odemira,2019,28250,294.30088495575217,152.03539823008848,142.2654867256637,22.05309734513274,63.64601769911504,69.09734513274336,61.98230088495575,77.5929203539823,38.336283185840706,46.47787610619469,64.49557522123894,96.53097345132743,16.743362831858406,31.75221238938053
Odemira,2020,29268,426.91676916769165,202.09785431187646,224.81891485581522,34.269509361760285,109.23192565258985,97.6493098264316,89.75673090064234,96.04346043460436,59.211425447587814,63.44813448134481,93.89093890938909,137.28303949706165,21.422714227142272,51.728850621839555
Odemira,2021,30186,474.25959053866023,201.3516199562711,272.90797058238917,35.38064003180282,142.05260716888623,117.57105943152453,90.70430000662559,88.5509838998211,67.58099781355595,53.36911150864639,99.25130855363413,127.21129000198766,17.160272974226462,109.71973762671436
Odemira,2022,31312,453.308635666837,160.6093510475217,292.6992846193153,28.742973939703624,158.08635666836994,129.43919264179866,73.51814001021971,63.55390904445579,35.86484414920797,33.373786407766985,59.52989269289729,80.67194685743485,12.614971895758814,231.28513030148187
Odemira,2023,32529,643.3643825509546,201.6047219404224,441.72891881090726,43.10000307417996,239.1404592824864,186.8793999200713,103.87654093270619,70.33723754188571,38.027606136063206,44.54486765655262,68.64643856251345,77.96120384887331,13.43416643610317,400.75009991084875
Odemira,2024,33495,727.4518584863413,215.85311240483654,511.5987460815047,51.23152709359606,272.5182863113898,222.0032840722496,109.00134348410211,72.69741752500373,32.18390804597701,31.28825197790715,53.231825645618756,66.15912822809375,15.464994775339603,529.123749813405
Odivelas,2016,146773,423.5656421821452,211.2241352292315,212.34832019513124,37.52052489218044,83.74837333842055,101.87841087938517,99.73223958084932,100.69290673352728,74.92522466666212,65.42756501536385,86.19432729452964,120.34229728901092,55.79364051971411,20.88940063908212
Odivelas,2017,147441,300.12683039317426,159.54178281482086,140.5850475783534,25.06087180634966,60.68868225256204,71.20814427465902,69.57359214872389,73.59553991087961,48.70422745369334,40.782414660779565,60.53268765133172,88.40824465379373,47.07645770172476,14.629580645817649
Odivelas,2018,148107,249.9139135894995,137.67748992282606,112.23642366667342,19.168574071448344,50.86187688630517,59.35573605568947,56.85754218234114,63.67018439371535,34.05645918153767,33.523061030201134,49.849095586299086,80.333812716482,40.430229496242575,11.728007454070367
Odivelas,2019,148911,203.1078966631075,116.06933000248472,87.03856666062278,15.331305276305983,40.460409237732605,50.835734096205115,44.9328793708994,51.55428410258477,21.281167945954294,27.10343762381557,39.667989604528884,68.72561462887228,33.65768814929723,12.678714131259612
Odivelas,2020,149127,312.01593272847975,170.48555928839178,141.53037344008797,33.8302252442549,75.90174817437487,76.16997592655925,64.99829004807982,61.11569333521093,29.93421714377678,37.73964473234223,64.56241995078021,115.3312277454787,40.763912638221115,23.68451051788073
Odivelas,2021,148953,354.36681369290983,194.4505985109397,159.91621518197013,34.86334615617006,84.19434318207756,88.61184400448464,74.55371828697642,72.15027559028687,28.942015266560592,43.584217840526875,71.14324652742812,126.12031983243035,42.677891683954,41.91254959618134
Odivelas,2022,150132,258.5591346281939,145.69179122372313,112.87400420962886,19.835877760903738,56.450323715130686,62.95793035462127,56.42368049449818,62.89798310819812,21.794154477393228,28.181866624037518,46.78549543068766,94.68334532278263,32.63794527482482,34.48298830362614
