territory,year,unemployment_total,unemployment_female,unemployment_male,unemployment[<25],unemployment[25-34],unemployment[35-44],unemployment[45-54],unemployment[>54],unemployment_el_b1,unemployment_el_b2,unemployment_el_b3,unemployment_el_hs,unemployment_el_c,unemployment_el_ne
Sever do Vouga,2018,231.3,141.8,89.5,26.8,37.4,35.2,35.2,96.7,48.3,38.8,44.8,46.3,44.5,8.6
Sever do Vouga,2019,211.6,124.3,87.3,24.1,35.8,36.8,30.8,84.1,41.8,33.3,45.5,51.0,33.4,6.5
Sever do Vouga,2020,230.3,140.3,90.0,24.8,47.8,41.0,43.2,73.5,33.0,40.9,53.2,62.5,35.4,5.3
Sever do Vouga,2021,177.9,101.8,76.2,24.0,29.7,28.8,30.8,64.8,25.4,33.6,41.0,41.8,31.6,4.6
Sever do Vouga,2022,140.4,82.3,58.2,17.2,21.3,29.2,26.0,46.8,14.6,25.5,30.4,38.4,25.9,5.6
Sever do Vouga,2023,145.2,83.0,62.2,14.5,22.2,28.5,25.8,54.3,15.3,27.7,30.8,44.1,22.3,5.1
Sever do Vouga,2024,157.7,79.8,77.8,17.1,33.3,27.8,28.8,50.8,17.4,23.3,32.6,55.7,24.3,4.5
Silves,2016,1375.4,727.6,647.8,125.0,268.8,327.5,320.0,334.2,281.3,211.6,314.1,345.7,114.8,108.0
Silves,2017,1101.0,601.5,499.5,97.1,210.8,253.8,251.1,288.2,213.2,170.8,251.1,294.6,87.4,83.9
Silves,2018,950.4,541.9,408.5,87.2,194.8,217.7,212.2,238.7,154.9,152.1,222.8,277.0,67.3,76.4
Silves,2019,942.9,541.8,401.2,93.5,215.0,213.2,202.7,218.6,143.4,146.8,227.8,276.3,64.9,83.7
Silves,2020,1817.3,1047.4,769.8,194.8,454.3,432.8,381.0,354.3,224.5,253.3,470.8,579.2,117.9,171.5
Silves,2021,1931.9,1102.0,829.9,200.0,455.1,459.5,397.6,419.8,232.1,249.3,503.6,617.0,123.4,206.6
Silves,2022,1305.8,730.3,575.5,111.1,288.3,298.8,273.2,334.6,156.5,171.6,297.7,408.5,87.9,183.7
Silves,2023,1207.8,649.8,558.0,106.9,282.4,262.6,254.1,301.8,120.7,167.2,266.0,429.4,77.4,147.2
Silves,2024,1343.0,706.4,636.6,125.5,344.5,313.3,274.7,285.1,124.8,183.0,285.2,544.0,84.3,121.8
Sines,2016,1049.4,529.1,520.3,144.0,206.8,260.3,221.0,217.4,193.3,182.3,247.2,292.9,75.3,58.5
Sines,2017,817.1,441.2,375.9,116.1,156.3,198.2,160.3,186.3,147.0,145.1,182.3,223.4,64.7,54.6
Sines,2018,592.2,337.2,255.0,67.0,120.0,141.3,114.9,149.0,107.8,99.4,136.5,144.9,53.2,50.4
Sines,2019,533.8,274.8,258.9,63.9,100.8,134.3,106.7,128.2,90.7,95.9,115.0,139.4,47.4,45.3
Sines,2020,811.5,352.7,458.8,74.7,152.4,215.9,191.3,177.3,121.5,148.7,172.3,228.3,60.4,80.3
Sines,2021,613.0,303.1,309.9,56.4,117.6,144.8,136.8,157.4,103.6,109.0,122.7,170.8,36.5,70.5
Sines,2022,446.7,229.1,217.6,40.6,92.6,90.6,102.3,120.6,69.6,79.5,82.7,107.9,28.1,78.9
Sines,2023,417.7,202.2,215.5,36.8,98.4,90.2,93.7,98.6,53.6,71.8,71.8,113.7,17.5,89.4
Sines,2024,423.4,172.0,251.4,42.5,98.6,94.8,95.8,91.7,47.5,66.5,76.7,103.1,18.7,111.0
Sintra,2016,15951.8,8608.2,7343.6,1567.0,3020.5,3687.4,4151.6,3525.3,2131.4,2334.8,3553.8,5328.1,2067.9,535.8
Sintra,2017,12410.7,6915.0,5495.7,1078.5,2264.2,2770.3,3179.9,3117.8,1578.5,1749.8,2789.2,4187.4,1578.8,527.0
Sintra,2018,9708.8,5674.3,4034.6,717.8,1741.3,2182.6,2376.8,2690.4,1004.1,1162.0,2220.0,3425.4,1337.7,559.7
Sintra,2019,8455.4,5022.3,3433.1,654.0,1555.6,1808.5,1986.3,2451.0,829.3,979.8,1804.1,2983.1,1237.9,621.3
Sintra,2020,12888.3,7573.3,5315.1,1406.2,2991.6,2844.3,2750.3,2896.0,989.4,1444.2,2738.3,5181.9,1667.5,867.0
Sintra,2021,14982.2,8943.3,6038.8,1690.0,3506.8,3276.3,3116.9,3392.3,945.5,1570.5,3156.1,6090.8,1873.7,1345.6
Sintra,2022,11051.9,6637.9,4414.0,959.2,2347.8,2324.3,2383.7,3037.0,816.7,1233.1,2211.0,4552.4,1355.4,883.3
Sintra,2023,10254.4,6060.9,4193.5,986.9,2267.5,2124.8,2108.2,2767.1,689.2,1118.1,2034.4,4408.3,1143.6,860.8
Sintra,2024,11135.9,6489.1,4646.8,1213.3,2674.8,2390.7,2226.6,2630.6,624.7,1088.2,2134.3,5071.2,1267.6,950.1
Sobral de Monte Agraço,2016,308.3,144.3,164.0,34.8,50.1,77.9,76.8,68.8,65.6,44.1,69.6,73.5,45.8,9.8
Sobral de Monte Agraço,2017,247.4,122.9,124.5,26.0,45.9,55.8,52.6,67.1,53.0,29.9,56.2,58.5,35.8,14.1
Sobral de Monte Agraço,2018,204.5,108.7,95.8,17.5,34.4,50.7,38.3,63.7,46.6,25.9,48.5,48.1,26.3,9.2
Sobral de Monte Agraço,2019,186.8,98.7,88.2,16.8,33.3,51.8,39.9,45.1,31.8,27.9,49.7,48.4,22.9,6.1
Sobral de Monte Agraço,2020,222.7,114.1,108.6,23.2,47.3,64.3,42.7,45.3,27.2,33.3,53.4,71.9,27.9,9.0
Sobral de Monte Agraço,2021,253.1,139.8,113.3,32.4,52.7,60.5,51.0,56.5,30.8,35.4,53.3,95.7,26.1,11.8
Sobral de Monte Agraço,2022,195.2,111.0,84.2,19.9,40.4,41.4,41.6,51.8,26.6,28.8,40.0,71.3,19.6,9.0
Sobral de Monte Agraço,2023,192.7,107.1,85.6,22.2,34.9,42.3,44.5,48.8,20.3,31.8,40.8,72.8,20.5,6.6
Sobral de Monte Agraço,2024,184.4,90.2,94.3,22.3,36.3,42.8,38.9,44.2,16.3,32.9,41.3,65.1,23.4,5.4
Soure,2016,619.3,333.8,285.6,83.2,120.0,119.5,127.9,168.8,132.5,69.3,130.9,148.9,106.1,31.7
Soure,2017,510.7,284.1,226.6,67.0,96.8,97.3,91.0,158.7,112.8,49.0,105.8,138.6,77.8,26.7
Soure,2018,428.3,252.3,176.0,62.6,71.7,80.8,85.2,128.0,73.3,39.8,84.9,127.0,71.8,31.3
Soure,2019,398.8,220.8,178.0,47.5,69.7,60.3,85.8,135.6,93.4,39.9,76.0,102.5,58.3,28.8
Soure,2020,434.9,226.5,208.4,50.8,81.4,77.7,86.2,138.8,92.9,47.8,85.4,115.7,56.7,36.4
Soure,2021,450.6,255.1,195.5,49.5,77.3,85.4,87.9,150.5,91.2,45.8,94.8,117.1,64.3,37.4
